action_type,combined_shot_type,game_event_id,game_id,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_id,team_name,game_date,matchup,opponent,shot_id,resultado,cor
Pullup Jump shot,Jump Shot,200,20900952,34.0383,125,6,-118.1448,6,2,0,2009-10,28,12,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2010-03-09,LAL vs. TOR,TOR,16182,Cesta,green
Driving Finger Roll Layup Shot,Layup,229,20900952,34.0443,0,0,-118.2698,3,2,0,2009-10,14,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-03-09,LAL vs. TOR,TOR,16183,Cesta,green
Driving Layup Shot,Layup,313,20900952,34.0443,0,0,-118.2698,8,3,0,2009-10,49,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-03-09,LAL vs. TOR,TOR,16186,Cesta,green
Layup Shot,Layup,319,20900952,34.0443,0,0,-118.2698,7,3,0,2009-10,38,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-03-09,LAL vs. TOR,TOR,16187,Cesta,green
Jump Shot,Jump Shot,471,20900952,33.8843,-131,160,-118.4008,7,4,0,2009-10,21,20,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-03-09,LAL vs. TOR,TOR,16190,Cesta,green
Jump Shot,Jump Shot,496,20900952,33.9863,-161,58,-118.4308,6,4,0,2009-10,4,17,1.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-03-09,LAL vs. TOR,TOR,16191,Cesta,green
Jump Shot,Jump Shot,2,20900974,34.0493,-122,-5,-118.3918,11,1,0,2009-10,41,12,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2010-03-12,LAL @ PHX,PHX,16197,Cesta,green
Jump Shot,Jump Shot,222,20900974,33.8853,-79,159,-118.3488,3,2,0,2009-10,22,17,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-03-12,LAL @ PHX,PHX,16201,Cesta,green
Running Bank shot,Bank Shot,305,20900974,33.9963,-64,48,-118.3338,6,3,0,2009-10,52,8,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-03-12,LAL @ PHX,PHX,16203,Cesta,green
Layup Shot,Layup,392,20900974,34.0443,0,0,-118.2698,11,4,0,2009-10,20,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-03-12,LAL @ PHX,PHX,16208,Cesta,green
Jump Bank Shot,Jump Shot,400,20900974,33.9813,-87,63,-118.3568,9,4,0,2009-10,52,10,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2010-03-12,LAL @ PHX,PHX,16209,Cesta,green
Pullup Jump shot,Jump Shot,8,20900995,34.0073,94,37,-118.1758,11,1,0,2009-10,21,10,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2010-03-15,LAL @ GSW,GSW,16213,Cesta,green
Driving Slam Dunk Shot,Dunk,64,20900995,34.0493,7,-5,-118.2628,4,1,0,2009-10,40,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-03-15,LAL @ GSW,GSW,16217,Cesta,green
Slam Dunk Shot,Dunk,108,20900995,34.0373,0,7,-118.2698,0,1,0,2009-10,37,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-03-15,LAL @ GSW,GSW,16218,Cesta,green
Turnaround Fadeaway shot,Jump Shot,196,20900995,33.9283,-134,116,-118.4038,4,2,0,2009-10,57,17,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-03-15,LAL @ GSW,GSW,16220,Cesta,green
Layup Shot,Layup,319,20900995,34.0383,-19,6,-118.2888,5,3,0,2009-10,42,1,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-03-15,LAL @ GSW,GSW,16223,Cesta,green
Layup Shot,Layup,357,20900995,34.0273,18,17,-118.2518,2,3,0,2009-10,25,2,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-03-15,LAL @ GSW,GSW,16225,Cesta,green
Driving Layup Shot,Layup,465,20900995,34.0323,-7,12,-118.2768,4,4,0,2009-10,51,1,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-03-15,LAL @ GSW,GSW,16228,Cesta,green
Driving Layup Shot,Layup,69,20901004,34.0443,0,0,-118.2698,2,1,0,2009-10,51,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-03-16,LAL @ SAC,SAC,16238,Cesta,green
Driving Layup Shot,Layup,82,20901004,34.0443,0,0,-118.2698,2,1,0,2009-10,22,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-03-16,LAL @ SAC,SAC,16239,Cesta,green
Fadeaway Jump Shot,Jump Shot,92,20901004,33.9923,18,52,-118.2518,1,1,0,2009-10,2,5,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-03-16,LAL @ SAC,SAC,16241,Cesta,green
Hook Bank Shot,Bank Shot,98,20901004,34.0143,-45,30,-118.3148,0,1,0,2009-10,36,5,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-03-16,LAL @ SAC,SAC,16242,Cesta,green
Fadeaway Jump Shot,Jump Shot,190,20901004,33.9073,138,137,-118.1318,6,2,0,2009-10,6,19,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-03-16,LAL @ SAC,SAC,16244,Cesta,green
Layup Shot,Layup,208,20901004,34.0443,0,0,-118.2698,4,2,0,2009-10,56,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-03-16,LAL @ SAC,SAC,16247,Cesta,green
Jump Shot,Jump Shot,393,20901004,33.8853,-128,159,-118.3978,9,4,0,2009-10,28,20,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-03-16,LAL @ SAC,SAC,16254,Cesta,green
Driving Layup Shot,Layup,273,20901028,34.0443,0,0,-118.2698,11,3,0,2009-10,19,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-03-19,LAL vs. MIN,MIN,16260,Cesta,green
Jump Shot,Jump Shot,278,20901028,33.8683,58,176,-118.2118,10,3,0,2009-10,15,18,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-03-19,LAL vs. MIN,MIN,16261,Cesta,green
Jump Shot,Jump Shot,125,20901041,33.9323,51,112,-118.2188,9,2,0,2009-10,10,12,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2010-03-21,LAL vs. WAS,WAS,16274,Cesta,green
Jump Shot,Jump Shot,137,20901041,33.9283,65,116,-118.2048,8,2,0,2009-10,20,13,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2010-03-21,LAL vs. WAS,WAS,16276,Cesta,green
Turnaround Fadeaway shot,Jump Shot,166,20901041,34.0113,-133,33,-118.4028,5,2,0,2009-10,25,13,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2010-03-21,LAL vs. WAS,WAS,16277,Cesta,green
Jump Shot,Jump Shot,177,20901041,33.9213,-150,123,-118.4198,4,2,0,2009-10,25,19,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-03-21,LAL vs. WAS,WAS,16279,Cesta,green
Jump Shot,Jump Shot,225,20901041,33.8873,-117,157,-118.3868,11,3,0,2009-10,2,19,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-03-21,LAL vs. WAS,WAS,16284,Cesta,green
Jump Bank Shot,Jump Shot,43,20901066,34.0023,-112,42,-118.3818,6,1,0,2009-10,31,11,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2010-03-24,LAL @ SAS,SAS,16286,Cesta,green
Turnaround Fadeaway shot,Jump Shot,61,20901066,33.9973,72,47,-118.1978,5,1,0,2009-10,14,8,1.0,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2010-03-24,LAL @ SAS,SAS,16289,Cesta,green
Running Bank shot,Bank Shot,153,20901066,34.0323,78,12,-118.1918,7,2,0,2009-10,40,7,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-03-24,LAL @ SAS,SAS,16291,Cesta,green
Turnaround Fadeaway shot,Jump Shot,179,20901066,34.0433,-133,1,-118.4028,5,2,0,2009-10,16,13,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2010-03-24,LAL @ SAS,SAS,16292,Cesta,green
Jump Shot,Jump Shot,182,20901066,34.0213,196,23,-118.0738,4,2,0,2009-10,39,19,1.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-03-24,LAL @ SAS,SAS,16293,Cesta,green
Jump Bank Shot,Jump Shot,249,20901066,34.0083,132,36,-118.1378,9,3,0,2009-10,54,13,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2010-03-24,LAL @ SAS,SAS,16294,Cesta,green
Jump Shot,Jump Shot,403,20901066,33.9803,-71,64,-118.3408,8,4,0,2009-10,28,9,1.0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2010-03-24,LAL @ SAS,SAS,16296,Cesta,green
Fadeaway Jump Shot,Jump Shot,159,20901078,33.9623,99,82,-118.1708,8,2,0,2009-10,36,12,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2010-03-26,LAL @ OKC,OKC,16307,Cesta,green
Jump Shot,Jump Shot,163,20901078,33.8883,-164,156,-118.4338,7,2,0,2009-10,58,22,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-03-26,LAL @ OKC,OKC,16308,Cesta,green
Pullup Jump shot,Jump Shot,35,20901085,33.8883,51,156,-118.2188,7,1,0,2009-10,34,16,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-03-27,LAL @ HOU,HOU,16313,Cesta,green
Driving Layup Shot,Layup,172,20901085,34.0443,0,0,-118.2698,5,2,0,2009-10,56,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-03-27,LAL @ HOU,HOU,16318,Cesta,green
Pullup Jump shot,Jump Shot,283,20901085,33.8883,20,156,-118.2498,6,3,0,2009-10,16,15,1.0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2010-03-27,LAL @ HOU,HOU,16322,Cesta,green
Jump Bank Shot,Jump Shot,291,20901085,33.9213,-117,123,-118.3868,5,3,0,2009-10,16,16,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-03-27,LAL @ HOU,HOU,16324,Cesta,green
Fadeaway Jump Shot,Jump Shot,303,20901085,33.9103,77,134,-118.1928,4,3,0,2009-10,5,15,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2010-03-27,LAL @ HOU,HOU,16325,Cesta,green
Jump Shot,Jump Shot,204,20901099,34.0143,155,30,-118.1148,1,2,0,2009-10,58,15,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2010-03-29,LAL @ NOH,NOH,16330,Cesta,green
Turnaround Jump Shot,Jump Shot,254,20901099,34.0373,177,7,-118.0928,10,3,0,2009-10,6,17,1.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-03-29,LAL @ NOH,NOH,16332,Cesta,green
Jump Shot,Jump Shot,259,20901099,33.9963,154,48,-118.1158,9,3,0,2009-10,38,16,1.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-03-29,LAL @ NOH,NOH,16333,Cesta,green
Jump Bank Shot,Jump Shot,297,20901099,33.9973,-146,47,-118.4158,6,3,0,2009-10,37,15,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2010-03-29,LAL @ NOH,NOH,16335,Cesta,green
Driving Layup Shot,Layup,386,20901099,34.0443,0,0,-118.2698,10,4,0,2009-10,59,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-03-29,LAL @ NOH,NOH,16339,Cesta,green
Layup Shot,Layup,454,20901099,34.0443,0,0,-118.2698,5,4,0,2009-10,42,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-03-29,LAL @ NOH,NOH,16341,Cesta,green
Driving Layup Shot,Layup,516,20901099,34.0443,0,0,-118.2698,0,4,0,2009-10,29,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-03-29,LAL @ NOH,NOH,16343,Cesta,green
Fadeaway Jump Shot,Jump Shot,21,20901107,33.9233,-90,121,-118.3598,8,1,0,2009-10,5,15,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2010-03-31,LAL @ ATL,ATL,16345,Cesta,green
Fadeaway Jump Shot,Jump Shot,120,20901107,33.8683,-27,176,-118.2968,11,2,0,2009-10,8,17,1.0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-03-31,LAL @ ATL,ATL,16349,Cesta,green
Fadeaway Jump Shot,Jump Shot,137,20901107,33.9123,-84,132,-118.3538,9,2,0,2009-10,29,15,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2010-03-31,LAL @ ATL,ATL,16350,Cesta,green
Jump Shot,Jump Shot,156,20901107,33.9343,-123,110,-118.3928,7,2,0,2009-10,39,16,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-03-31,LAL @ ATL,ATL,16352,Cesta,green
Fadeaway Jump Shot,Jump Shot,169,20901107,33.9813,154,63,-118.1158,6,2,0,2009-10,38,16,1.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-03-31,LAL @ ATL,ATL,16353,Cesta,green
Turnaround Jump Shot,Jump Shot,192,20901107,34.0353,151,9,-118.1188,5,2,0,2009-10,4,15,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2010-03-31,LAL @ ATL,ATL,16354,Cesta,green
Fadeaway Jump Shot,Jump Shot,255,20901107,33.9583,124,86,-118.1458,10,3,0,2009-10,42,15,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2010-03-31,LAL @ ATL,ATL,16359,Cesta,green
Turnaround Jump Shot,Jump Shot,321,20901107,34.0443,192,0,-118.0778,2,3,0,2009-10,24,19,1.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-03-31,LAL @ ATL,ATL,16362,Cesta,green
Jump Shot,Jump Shot,22,20901131,33.8953,144,149,-118.1258,9,1,0,2009-10,17,20,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-04-02,LAL vs. UTA,UTA,16366,Cesta,green
Turnaround Fadeaway shot,Jump Shot,26,20901131,34.0493,105,-5,-118.1648,8,1,0,2009-10,0,10,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2010-04-02,LAL vs. UTA,UTA,16367,Cesta,green
Layup Shot,Layup,45,20901131,34.0443,0,0,-118.2698,6,1,0,2009-10,0,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-04-02,LAL vs. UTA,UTA,16369,Cesta,green
Driving Layup Shot,Layup,447,20901131,34.0443,0,0,-118.2698,7,4,0,2009-10,3,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-04-02,LAL vs. UTA,UTA,16386,Cesta,green
Turnaround Bank shot,Bank Shot,11,20901142,34.0143,36,30,-118.2338,9,1,0,2009-10,49,4,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-04-04,LAL vs. SAS,SAS,16389,Cesta,green
Turnaround Jump Shot,Jump Shot,170,20901142,34.0193,32,25,-118.2378,3,2,0,2009-10,47,4,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-04-04,LAL vs. SAS,SAS,16396,Cesta,green
Layup Shot,Layup,388,20901142,34.0443,0,0,-118.2698,10,4,0,2009-10,4,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-04-04,LAL vs. SAS,SAS,16405,Cesta,green
Jump Shot,Jump Shot,397,20901142,33.8963,105,148,-118.1648,9,4,0,2009-10,13,18,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-04-04,LAL vs. SAS,SAS,16406,Cesta,green
Layup Shot,Layup,471,20901142,34.0443,0,0,-118.2698,2,4,0,2009-10,20,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-04-04,LAL vs. SAS,SAS,16410,Cesta,green
Running Finger Roll Layup Shot,Layup,50,20901196,34.0443,0,0,-118.2698,6,1,0,2009-10,26,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-04-11,LAL vs. POR,POR,16414,Cesta,green
Turnaround Hook Shot,Hook Shot,92,20901196,34.0183,51,26,-118.2188,2,1,0,2009-10,28,5,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-04-11,LAL vs. POR,POR,16416,Cesta,green
Jump Shot,Jump Shot,315,20901196,33.8823,70,162,-118.1998,2,3,0,2009-10,40,17,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-04-11,LAL vs. POR,POR,16427,Cesta,green
Driving Finger Roll Layup Shot,Layup,445,20901196,34.0443,0,0,-118.2698,0,4,0,2009-10,31,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-04-11,LAL vs. POR,POR,16434,Cesta,green
Turnaround Fadeaway shot,Jump Shot,20,21000003,33.9363,-98,108,-118.3678,9,1,0,2010-11,38,14,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2010-10-26,LAL vs. HOU,HOU,16435,Cesta,green
Jump Shot,Jump Shot,163,21000003,33.9313,10,113,-118.2598,8,2,0,2010-11,40,11,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2010-10-26,LAL vs. HOU,HOU,16440,Cesta,green
Turnaround Fadeaway shot,Jump Shot,184,21000003,34.0473,-103,-3,-118.3728,6,2,0,2010-11,52,10,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2010-10-26,LAL vs. HOU,HOU,16441,Cesta,green
Jump Shot,Jump Shot,322,21000003,33.9623,-106,82,-118.3758,9,3,0,2010-11,6,13,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2010-10-26,LAL vs. HOU,HOU,16448,Cesta,green
Jump Shot,Jump Shot,332,21000003,33.8983,-127,146,-118.3968,8,3,0,2010-11,13,19,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-10-26,LAL vs. HOU,HOU,16449,Cesta,green
Driving Layup Shot,Layup,584,21000003,34.0213,18,23,-118.2518,1,4,0,2010-11,45,2,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-10-26,LAL vs. HOU,HOU,16453,Cesta,green
Jump Shot,Jump Shot,2,21000030,33.8963,-79,148,-118.3488,11,1,0,2010-11,47,16,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-10-29,LAL @ PHX,PHX,16455,Cesta,green
Reverse Layup Shot,Layup,62,21000030,34.0383,29,6,-118.2408,4,1,0,2010-11,54,2,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-10-29,LAL @ PHX,PHX,16458,Cesta,green
Jump Shot,Jump Shot,65,21000030,33.9733,7,71,-118.2628,4,1,0,2010-11,31,7,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-10-29,LAL @ PHX,PHX,16459,Cesta,green
Layup Shot,Layup,396,21000030,34.0443,-16,0,-118.2858,6,4,0,2010-11,9,1,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-10-29,LAL @ PHX,PHX,16470,Cesta,green
Jump Shot,Jump Shot,461,21000030,33.9313,-174,113,-118.4438,1,4,0,2010-11,11,20,1.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-10-29,LAL @ PHX,PHX,16473,Cesta,green
Pullup Jump shot,Jump Shot,17,21000043,33.8823,108,162,-118.1618,9,1,0,2010-11,52,19,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-10-31,LAL vs. GSW,GSW,16474,Cesta,green
Layup Shot,Layup,75,21000043,34.0373,-29,7,-118.2988,4,1,0,2010-11,14,2,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-10-31,LAL vs. GSW,GSW,16477,Cesta,green
Reverse Layup Shot,Layup,93,21000043,34.0403,-15,4,-118.2848,2,1,0,2010-11,39,1,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-10-31,LAL vs. GSW,GSW,16479,Cesta,green
Jump Shot,Jump Shot,100,21000043,34.0323,-81,12,-118.3508,2,1,0,2010-11,13,8,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2010-10-31,LAL vs. GSW,GSW,16480,Cesta,green
Tip Shot,Tip Shot,103,21000043,34.0413,6,3,-118.2638,1,1,0,2010-11,38,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-10-31,LAL vs. GSW,GSW,16481,Cesta,green
Jump Shot,Jump Shot,244,21000043,33.9203,160,124,-118.1098,1,2,0,2010-11,58,20,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-10-31,LAL vs. GSW,GSW,16483,Cesta,green
Turnaround Fadeaway shot,Jump Shot,22,21000053,34.0183,-98,26,-118.3678,9,1,0,2010-11,47,10,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2010-11-02,LAL vs. MEM,MEM,16490,Cesta,green
Driving Layup Shot,Layup,68,21000053,34.0213,17,23,-118.2528,4,1,0,2010-11,57,2,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-11-02,LAL vs. MEM,MEM,16492,Cesta,green
Jump Shot,Jump Shot,85,21000053,33.8843,-87,160,-118.3568,3,1,0,2010-11,31,18,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2010-11-02,LAL vs. MEM,MEM,16493,Cesta,green
Jump Hook Shot,Jump Shot,239,21000065,34.0143,58,30,-118.2118,2,2,0,2010-11,37,6,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-11-03,LAL @ SAC,SAC,16511,Cesta,green
Alley Oop Dunk Shot,Dunk,246,21000065,34.0333,17,11,-118.2528,2,2,0,2010-11,5,2,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-11-03,LAL @ SAC,SAC,16512,Cesta,green
Jump Bank Shot,Jump Shot,337,21000065,34.0033,-46,41,-118.3158,6,3,0,2010-11,57,6,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-11-03,LAL @ SAC,SAC,16516,Cesta,green
Jump Bank Shot,Jump Shot,466,21000065,33.9943,121,50,-118.1488,7,4,0,2010-11,43,13,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2010-11-03,LAL @ SAC,SAC,16518,Cesta,green
Jump Hook Shot,Jump Shot,23,21000079,33.9883,1,56,-118.2688,8,1,0,2010-11,52,5,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-11-05,LAL vs. TOR,TOR,16525,Cesta,green
Floating Jump shot,Jump Shot,52,21000079,34.0003,77,44,-118.1928,5,1,0,2010-11,12,8,1.0,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2010-11-05,LAL vs. TOR,TOR,16527,Cesta,green
Driving Layup Shot,Layup,58,21000079,34.0303,23,14,-118.2468,4,1,0,2010-11,16,2,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-11-05,LAL vs. TOR,TOR,16528,Cesta,green
Turnaround Jump Shot,Jump Shot,451,21000079,33.9733,17,71,-118.2528,5,4,0,2010-11,18,7,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2010-11-05,LAL vs. TOR,TOR,16535,Cesta,green
